"Marked","File Name","Folder","Size","Created","Modified","File type","Hash","Group","Hard-links","Artist","Title","Album","Length","Bit rate","Sample rate","Image width","Image height","Unused","ZipFlag"
0,"timesroman16.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",3922,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",26,0,"","","","","","",,,,-1
0,"timesroman18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",3162,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",27,0,"","","","","","",,,,-1
0,"timesroman18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",4478,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",27,0,"","","","","","",,,,-1
0,"timesroman18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\original\",3754,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",27,0,"","","","","","",,,,-1
0,"timesroman18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",3314,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",27,0,"","","","","","",,,,-1
0,"timesroman18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",3162,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",27,0,"","","","","","",,,,-1
0,"timesroman8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",1194,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",28,0,"","","","","","",,,,-1
0,"timesroman8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",1564,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",28,0,"","","","","","",,,,-1
0,"timesroman8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\original\",1426,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",28,0,"","","","","","",,,,-1
0,"timesroman8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",1162,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",28,0,"","","","","","",,,,-1
0,"timesroman8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",1220,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",28,0,"","","","","","",,,,-1
0,"timesroman9.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",1314,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",29,0,"","","","","","",,,,-1
0,"timesroman9.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",1928,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",29,0,"","","","","","",,,,-1
0,"timesroman9.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",1258,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",29,0,"","","","","","",,,,-1
0,"timesroman9.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",1198,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",29,0,"","","","","","",,,,-1
0,"timesromand24.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",6474,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",30,0,"","","","","","",,,,-1
0,"timesromand24.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",6366,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",30,0,"","","","","","",,,,-1
0,"COMPAREDIRECTORIES","C:\Users\Larry\Desktop\medley\lispusers\",26377,"8/19/2020 3:57:57 PM","8/19/2020 3:57:57 PM",".","",31,0,"","","","","","",,,,-1
0,"COMPAREDIRECTORIES","C:\Users\Larry\Desktop\medley\internal\library\",21272,"8/19/2020 3:57:54 PM","8/19/2020 3:57:54 PM",".","",31,0,"","","","","","",,,,-1
0,"COMPARESOURCES.TEDIT","C:\Users\Larry\Desktop\medley\lispusers\",9365,"8/19/2020 3:57:57 PM","8/19/2020 3:57:57 PM",".TEDIT","",32,0,"","","","","","",,,,-1
0,"COMPARESOURCES.TEDIT","C:\Users\Larry\Desktop\medley\internal\library\",9106,"8/19/2020 3:57:54 PM","8/19/2020 3:57:54 PM",".TEDIT","",32,0,"","","","","","",,,,-1
0,"COLOR","C:\Users\Larry\Desktop\medley\library\",64474,"8/19/2020 3:57:55 PM","8/19/2020 3:57:55 PM",".","",33,0,"","","","","","",,,,-1
0,"COLOR","C:\Users\Larry\Desktop\medley\lispusers\",66672,"8/19/2020 3:57:57 PM","8/19/2020 3:57:57 PM",".","",33,0,"","","","","","",,,,-1
0,"COLOR","C:\Users\Larry\Desktop\medley\internal\library\OBSOLETE\",63292,"8/19/2020 3:57:54 PM","8/19/2020 3:57:54 PM",".","",33,0,"","","","","","",,,,-1
0,"COLORDEMO","C:\Users\Larry\Desktop\medley\lispusers\",61007,"8/19/2020 3:57:57 PM","8/19/2020 3:57:57 PM",".","",34,0,"","","","","","",,,,-1
0,"COLORDEMO","C:\Users\Larry\Desktop\medley\internal\library\OBSOLETE\",59543,"8/19/2020 3:57:54 PM","8/19/2020 3:57:54 PM",".","",34,0,"","","","","","",,,,-1
0,"COLOROBJ","C:\Users\Larry\Desktop\medley\lispusers\",8129,"8/19/2020 3:57:57 PM","8/19/2020 3:57:57 PM",".","",35,0,"","","","","","",,,,-1
0,"COLOROBJ","C:\Users\Larry\Desktop\medley\internal\library\OBSOLETE\",8182,"8/19/2020 3:57:54 PM","8/19/2020 3:57:54 PM",".","",35,0,"","","","","","",,,,-1
0,"DORADOCOLOR","C:\Users\Larry\Desktop\medley\lispusers\",15718,"8/19/2020 3:57:58 PM","8/19/2020 3:57:58 PM",".","",36,0,"","","","","","",,,,-1
0,"DORADOCOLOR","C:\Users\Larry\Desktop\medley\internal\library\OBSOLETE\",17271,"8/19/2020 3:57:54 PM","8/19/2020 3:57:54 PM",".","",36,0,"","","","","","",,,,-1
0,"LLCOLOR","C:\Users\Larry\Desktop\medley\library\",139168,"8/19/2020 3:57:55 PM","8/19/2020 3:57:55 PM",".","",37,0,"","","","","","",,,,-1
0,"LLCOLOR","C:\Users\Larry\Desktop\medley\sources\",134228,"8/19/2020 3:58:04 PM","8/19/2020 3:58:04 PM",".","",37,0,"","","","","","",,,,-1
0,"LLCOLOR","C:\Users\Larry\Desktop\medley\internal\library\OBSOLETE\",131036,"8/19/2020 3:57:54 PM","8/19/2020 3:57:54 PM",".","",37,0,"","","","","","",,,,-1
0,"SKETCHCOLOR","C:\Users\Larry\Desktop\medley\lispusers\",4899,"8/19/2020 3:58:00 PM","8/19/2020 3:58:00 PM",".","",38,0,"","","","","","",,,,-1
